OPTION UNITS,MEASURE Seat_Back_Angle,MEASURE Outseam,MEASURE Inseam,MEASURE CROTCH_Height,MEASURE TrouserWAIST_Circ,MEASURE HIP_Circ,MEASURE Knee_Height,MEASURE Calf_Height,MEASURE Waist_Height_Back_EZ,MEASURE TrouserWaist_Height_Back,MEASURE CrotchLength_Back,MEASURE CrotchLength_Front,MEASURE Ankle_Circ,MEASURE Head_Top_Height,MEASURE Hip_Height,MEASURE NeckBase_Circ,MEASURE Bust_to_Bust,MEASURE Underbust_Circ,MEASURE BUST_Circ,MEASURE Across_Back,MEASURE Shoulder_to_Shoulder,MEASURE Neck_Circ,MEASURE Knee_Circ,MEASURE Calf_Circ,MEASURE Bicep_Circ,MEASURE Elbow_Circ,MEASURE Wrist_Circ,MEASURE Shoulder_to_Wrist,MEASURE Shoulder_Length,MEASURE SideNeck_to_Bust,MEASURE NeckSide_to_Wrist,MEASURE NECK_Height,MEASURE Thigh_Circ,MEASURE Across_Front,MEASURE Shoulder_to_floor_Right,MEASURE Shoulder_to_floor_Left,MEASURE TopHip_Circ,MEASURE TrouserWaist_Height_Front,MEASURE Bust_Height,MEASURE Torso_Height,MEASURE Istumakorkeus,MEASURE NaturalWAIST_Circ,MEASURE NaturalWaist_Height,MEASURE Thigh_Height,MEASURE Ankle_Height,MEASURE Shoulder_Width_ThruTheBody,MEASURE Overarm_Width_ThruTheBody,MEASURE Hip_2_Width_ThruTheBody,MEASURE Hip_2_Circ,MEASURE Hip_2_Height,filename
cm,13.8,96.4,74.2,73.0,80.9,94.5,26.0,40.1,97.4,97.2,32.4,26.2,22.72,159.1,83.5,33.1,18.1,81.7,90.0,29.2,34.8,31.0,34.6,32.3,26.8,22.9,15.8,57.4,11.1,26.3,68.5,139.5,51.1,31.2,135.5,135.5,90.5,93.6,117.5,66.5,26.6,74.9,99.6,4.0,64.9,30.5,39.7,38.7,96.5,73.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0010.txt
cm,22.0,96.4,71.9,70.7,97.5,110.6,27.0,40.1,98.9,98.6,39.2,31.9,24.55,156.0,79.2,34.1,19.3,82.3,97.5,35.1,40.0,32.4,38.1,36.6,32.3,24.6,14.6,53.7,13.4,30.2,67.2,137.2,62.0,36.0,130.4,131.2,103.2,93.0,111.2,66.5,26.6,95.3,97.3,4.0,62.9,35.3,41.3,44.1,113.6,72.7,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0011.txt
cm,13.1,94.5,72.5,71.4,92.3,93.4,29.0,41.7,96.3,95.8,33.0,26.9,28.59,139.4,81.4,36.6,19.0,85.7,101.0,37.7,41.7,33.9,32.9,34.4,30.2,23.3,16.0,53.3,13.3,31.2,66.6,137.2,51.4,39.2,130.9,130.7,95.3,91.5,110.4,65.8,26.3,87.5,97.7,4.0,62.5,36.8,42.8,36.6,95.0,72.9,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0012.txt
cm,25.3,88.7,70.2,68.7,79.4,90.4,28.0,40.2,91.6,89.8,27.7,25.3,24.61,150.8,76.7,31.9,19.9,73.2,93.1,32.2,33.8,31.2,35.4,36.1,26.6,21.7,13.5,50.2,11.3,25.6,61.6,130.0,52.8,35.9,125.0,125.0,81.7,86.0,110.2,61.3,24.5,71.0,93.2,3.0,60.9,30.8,38.4,36.8,94.5,68.7,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0013.txt
cm,24.8,101.7,76.2,75.1,79.2,96.7,30.0,43.5,104.5,103.7,37.4,30.5,29.88,161.4,82.6,33.7,19.3,81.0,94.4,31.9,38.2,31.1,36.2,33.6,28.4,23.1,15.5,55.2,11.6,25.8,66.8,142.8,55.2,38.3,136.1,136.6,91.3,99.1,122.1,67.8,27.1,77.5,102.2,4.0,67.2,33.2,40.5,37.4,97.5,75.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0014.txt
cm,24.0,103.6,81.1,80.0,80.2,93.6,31.0,45.7,105.9,105.6,34.1,27.8,23.26,167.5,88.5,35.4,17.1,73.2,88.2,28.0,31.4,30.5,35.6,33.9,28.2,21.7,14.9,59.7,8.6,25.0,68.3,148.3,55.5,28.9,143.3,142.5,85.4,101.2,126.0,68.3,27.3,71.3,107.3,4.0,72.1,27.9,36.4,37.2,97.7,80.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0015.txt
cm,23.0,91.1,71.2,69.8,80.6,90.4,29.0,41.2,93.3,92.7,31.0,25.7,20.19,151.6,77.8,33.3,17.0,75.8,90.0,32.6,33.9,31.1,31.3,30.1,27.2,21.3,14.1,54.2,11.2,25.5,65.4,131.6,50.2,30.5,124.8,126.1,82.9,88.8,111.3,61.8,24.7,74.2,94.5,3.0,63.5,29.3,35.0,35.2,91.4,70.8,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0016.txt
cm,25.0,92.4,71.8,70.6,83.3,94.6,26.5,39.7,95.1,93.9,31.0,26.5,24.34,158.4,79.1,34.5,16.2,77.6,92.0,33.5,33.0,32.5,35.7,34.0,28.9,23.0,13.8,55.5,10.2,26.2,65.7,138.1,52.9,28.8,132.6,133.3,88.0,89.6,117.6,67.5,27.0,75.4,97.6,4.0,64.6,27.7,36.5,36.8,95.1,70.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0017.txt
cm,14.7,95.5,76.3,75.3,88.6,94.9,30.0,43.6,97.4,96.7,30.7,25.1,23.76,161.3,80.8,38.1,22.4,90.7,105.1,34.9,39.1,36.3,35.4,33.3,30.7,24.8,15.5,57.0,12.4,27.5,69.4,143.1,51.0,38.7,135.6,135.8,90.8,92.9,121.3,67.8,27.1,86.9,102.4,4.0,68.1,33.6,42.2,36.1,92.8,77.3,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0018.txt
cm,23.0,95.9,74.4,73.2,86.3,98.1,29.0,42.3,98.0,97.2,33.9,27.7,23.67,150.9,81.2,40.0,13.9,78.7,92.4,34.2,39.7,38.2,39.4,36.5,34.7,25.3,16.0,53.8,12.4,30.4,66.1,135.9,56.3,35.9,129.4,130.4,94.6,92.6,108.2,62.8,25.1,83.2,98.3,4.0,65.2,34.0,40.1,40.0,101.7,73.7,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0019.txt
