OPTION UNITS,MEASURE HIP_Circ,MEASURE Seat_Back_Angle,MEASURE Calf_Left,MEASURE Calf_Right,MEASURE Across_Back,MEASURE NeckBase_Circ,MEASURE CHEST_Circ,MEASURE Neck_Circ,MEASURE TrouserWaist_Height_Back,MEASURE TrouserWAIST_Circ,MEASURE MaxWAIST_Circ,MEASURE Shoulder_to_Shoulder,MEASURE Across_Front,MEASURE CrotchLength_Front,MEASURE CrotchLength_Back,MEASURE Thigh_Circ,MEASURE Knee_Circ,MEASURE Calf_Circ,MEASURE Outseam,MEASURE Inseam,MEASURE Knee_Height,MEASURE Shoulder_Length,MEASURE Shoulder_to_Wrist,MEASURE Bicep_Circ,MEASURE Elbow_Circ,MEASURE Wrist_Circ,MEASURE Shoulder_Slope_Left,MEASURE Shoulder_Slope_Right,MEASURE Joints,MEASURE Landmarks,MEASURE CROTCH_Height,MEASURE Head_Top_Height,MEASURE NECK_Height,MEASURE MaxWaist_Height,MEASURE TrouserWaist_Height_Front,MEASURE Ankle_Girth_Left,MEASURE Ankle_Girth_Right,MEASURE Calf_Height,MEASURE Ankle_Height,MEASURE Ankle_Circ,MEASURE Thigh_Height,MEASURE Shoulder_Width_thruTheBody,MEASURE Hip_Width_ThruTheBody,MEASURE Overarm_Width_ThruTheBody,filename
cm,99.3,19.9,36.8,36.8,38.0,41.1,102.3,36.7,99.2,87.2,84.5,45.6,45.2,27.2,34.1,60.6,36.2,36.8,96.5,74.7,27.5,14.0,56.1,30.8,25.7,16.2,6.6,5.0,18.0,27.0,73.5,160.7,145.3,102.6,98.2,26.2,24.7,41.0,65.8,25.5,4.0,39.5,39.5,45.4,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0050.txt
cm,110.4,24.7,41.2,41.2,37.3,42.3,100.7,38.8,110.5,93.1,93.6,42.9,40.3,28.7,37.3,65.5,41.8,41.2,107.3,85.0,32.0,13.5,65.4,35.3,27.5,18.7,3.8,4.2,18.0,27.0,84.0,180.5,161.2,112.0,108.5,28.4,28.5,47.0,75.2,28.4,4.0,39.1,42.7,47.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0051.txt
cm,94.7,11.7,32.5,33.4,33.3,39.7,92.5,37.2,104.6,87.7,80.0,40.1,38.2,25.0,33.7,48.7,36.1,33.0,101.3,79.2,31.0,13.5,60.0,28.1,24.0,16.7,6.7,4.9,18.0,27.0,78.2,169.5,149.4,111.7,104.4,25.5,26.1,40.5,69.6,25.8,4.0,35.2,37.5,41.9,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0052.txt
cm,96.5,20.0,36.2,34.9,39.8,38.8,100.2,35.8,103.1,85.8,81.8,42.4,39.4,22.6,31.7,53.8,37.3,35.6,100.0,81.5,32.0,13.5,63.0,28.0,25.2,16.7,5.3,6.2,18.0,27.0,80.3,175.7,154.1,107.3,101.7,25.5,25.0,45.5,70.7,25.2,4.0,36.7,37.7,45.0,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0053.txt
cm,95.5,17.7,33.9,33.4,36.0,37.6,99.2,36.6,109.4,82.7,81.6,43.5,38.8,28.6,32.5,52.1,36.5,33.6,106.4,82.8,33.0,15.1,58.8,29.8,25.9,16.2,6.2,6.2,18.0,27.0,82.0,172.5,155.8,117.0,109.2,26.0,27.2,46.0,73.2,26.6,4.0,36.7,37.9,45.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0054.txt
cm,110.1,26.8,39.9,40.2,39.5,43.9,108.6,39.8,110.4,97.6,93.1,47.5,46.6,29.5,37.0,65.0,40.3,40.0,107.4,84.4,32.5,15.5,61.2,37.4,29.5,16.7,5.6,5.2,18.0,27.0,83.6,182.9,163.6,117.1,108.5,29.3,29.9,45.0,74.7,29.6,4.0,41.5,43.6,52.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0055.txt
cm,104.1,11.0,47.4,45.2,40.7,44.1,119.0,40.6,112.7,102.1,105.2,49.7,47.5,26.1,33.9,62.8,40.5,46.3,108.1,87.8,32.0,17.2,65.9,37.5,29.7,17.9,6.1,6.5,18.0,27.0,86.8,182.3,163.5,117.3,111.8,29.1,26.7,48.0,75.8,27.9,4.0,42.7,38.7,50.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0056.txt
cm,92.1,15.5,33.4,33.0,38.8,41.2,97.7,38.3,95.6,86.3,85.0,41.7,36.9,24.3,29.8,49.7,35.0,33.2,92.5,72.9,27.0,12.4,54.3,31.3,24.2,16.3,6.7,6.2,18.0,27.0,72.0,161.1,142.8,105.0,95.1,24.4,24.0,40.0,64.2,24.2,4.0,35.2,35.2,44.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0057.txt
cm,99.8,18.1,37.6,37.3,40.5,39.9,97.2,37.0,105.0,91.8,93.4,45.3,37.2,25.9,30.8,52.3,37.8,37.4,102.3,81.6,30.5,13.9,60.4,29.5,24.8,16.5,5.3,5.1,18.0,27.0,80.7,166.6,156.2,110.2,103.0,28.4,26.2,46.0,72.9,27.3,4.0,38.1,37.7,46.6,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0058.txt
cm,111.1,19.6,38.5,39.2,39.7,44.0,111.4,41.4,104.8,104.1,109.8,44.9,40.2,27.5,36.4,57.6,41.4,38.9,101.8,79.9,27.0,13.6,64.6,36.6,30.3,19.6,5.0,4.4,18.0,27.0,78.7,176.6,157.7,110.2,102.8,27.4,27.7,40.5,70.0,27.5,4.0,38.6,42.1,47.8,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0059.txt
cm,93.9,16.7,35.0,35.1,40.1,39.0,99.3,35.8,114.9,89.9,86.0,41.6,36.8,27.7,31.5,54.3,36.5,35.0,112.0,90.0,32.5,12.3,65.9,30.1,24.9,15.4,4.2,4.0,18.0,27.0,89.0,182.4,164.2,119.5,113.0,26.0,25.5,50.0,80.6,25.7,4.0,35.7,36.8,42.8,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0060.txt
cm,91.8,18.8,36.2,36.0,36.4,41.3,93.8,38.1,106.1,80.0,73.9,42.2,37.8,27.4,34.9,52.4,37.8,36.1,103.2,81.6,30.5,12.6,60.2,27.3,23.7,16.5,5.3,3.6,18.0,27.0,80.5,172.8,154.8,114.0,105.9,25.4,25.8,44.5,71.1,25.6,4.5,37.2,36.5,45.0,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0061.txt
cm,101.3,19.3,36.2,36.7,40.3,42.1,102.2,38.9,108.5,87.1,80.6,42.7,37.5,28.7,37.2,55.7,37.1,36.4,106.0,81.3,28.0,13.8,63.2,30.8,27.6,17.3,5.1,6.9,18.0,27.0,80.0,170.9,158.0,114.0,108.3,24.7,26.2,44.0,70.5,25.5,4.0,36.8,41.3,46.0,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0062.txt
cm,105.1,22.5,38.9,39.4,37.3,43.3,107.7,40.3,109.2,96.0,94.3,45.9,44.1,28.5,35.2,60.5,38.0,39.1,106.1,83.8,30.5,14.9,58.5,36.2,28.9,17.4,6.7,5.7,18.0,27.0,82.8,178.1,158.8,113.3,107.2,27.9,29.0,47.0,74.1,28.4,4.0,39.9,40.2,46.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0063.txt
cm,100.7,20.9,36.0,35.9,37.0,44.5,99.2,42.3,100.3,90.9,93.4,43.1,41.2,25.0,33.9,55.0,37.2,36.0,96.3,75.0,28.0,13.6,56.2,31.3,26.5,17.7,5.5,5.8,18.0,27.0,74.1,171.9,152.6,103.6,98.3,26.6,25.5,42.5,65.2,26.1,4.0,37.7,38.4,45.8,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0064.txt
cm,106.4,13.5,43.3,45.0,46.4,43.4,111.1,41.7,116.0,102.8,105.9,49.4,41.3,26.9,34.3,56.4,44.6,44.1,112.1,89.4,30.5,14.5,69.4,34.0,31.0,19.7,5.7,3.9,18.0,27.0,88.9,192.9,174.4,119.9,114.0,30.1,31.0,48.0,79.4,30.6,4.0,42.0,40.5,52.4,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0065.txt
cm,106.3,21.8,41.7,41.8,36.7,42.8,103.8,38.1,117.8,92.7,85.0,47.0,44.3,27.8,35.6,61.1,41.7,41.7,115.1,93.3,34.5,15.0,64.8,34.6,29.2,18.4,3.5,6.5,18.0,27.0,92.3,182.9,166.6,124.8,117.6,28.3,28.0,51.5,82.3,28.2,5.0,42.2,41.1,48.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0066.txt
cm,116.0,13.3,45.4,44.7,43.6,44.8,120.7,42.7,102.3,104.5,116.0,48.4,44.6,27.6,34.2,70.1,42.5,45.0,99.7,80.5,30.0,14.6,61.8,40.1,30.5,18.9,4.6,3.5,18.0,27.0,77.8,172.8,154.0,104.3,100.3,29.2,28.3,42.0,70.6,28.8,4.0,41.8,44.3,51.9,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0067.txt
cm,97.7,23.5,36.6,36.6,35.9,40.0,100.3,36.1,102.4,85.7,81.1,45.4,42.9,25.7,32.6,55.8,37.8,36.6,99.9,79.4,29.0,16.4,57.6,34.9,28.4,17.4,6.7,6.4,18.0,27.0,78.0,172.3,152.0,112.5,100.4,26.5,26.9,43.0,69.4,26.7,4.0,40.0,38.8,46.3,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0068.txt
cm,94.0,21.1,36.9,37.9,40.8,42.5,95.4,39.5,105.9,82.9,76.0,43.1,35.5,26.9,33.7,55.2,37.2,37.4,102.7,81.7,32.0,12.6,60.6,30.3,25.4,16.7,5.5,5.3,18.0,27.0,81.0,171.3,154.0,112.0,105.7,27.2,27.8,48.5,72.6,27.5,4.0,36.7,36.6,46.6,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0069.txt
cm,113.3,16.4,45.9,45.2,43.1,44.6,124.5,43.4,103.3,111.0,119.0,51.7,47.7,24.1,35.8,65.2,42.3,45.6,98.3,80.0,28.0,16.7,61.2,39.4,30.8,18.2,6.7,5.7,18.0,27.0,78.7,176.8,158.4,108.7,101.3,30.2,29.0,43.0,69.2,29.6,4.0,42.5,41.1,52.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0070.txt
cm,107.8,22.6,40.1,40.1,41.5,46.2,114.9,44.8,112.1,107.2,112.5,48.9,44.5,26.7,38.2,57.5,42.0,40.1,107.1,84.6,30.0,15.9,63.8,35.9,30.9,20.3,4.8,5.3,18.0,27.0,83.5,183.8,166.5,116.5,110.1,29.4,28.5,43.0,73.5,29.0,4.0,41.4,40.2,50.6,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0071.txt
cm,96.3,27.6,34.2,34.1,38.5,41.8,101.5,37.8,105.3,85.6,84.9,43.8,41.2,24.8,34.0,52.9,37.4,34.1,102.5,81.9,32.0,14.6,61.1,33.0,26.8,17.1,4.9,5.5,18.0,27.0,80.8,172.5,154.3,114.8,103.3,24.5,24.5,45.0,72.1,24.5,4.0,38.7,36.8,47.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0072.txt
cm,93.6,18.0,35.8,36.3,38.6,41.3,92.2,37.9,102.1,86.7,87.1,40.4,34.6,26.1,32.8,52.3,35.6,36.1,99.4,77.0,26.0,11.4,61.6,31.5,24.5,15.7,4.9,4.3,18.0,27.0,76.2,168.4,147.7,100.7,100.1,26.0,25.3,43.0,68.2,25.6,4.0,35.6,36.7,44.6,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0073.txt
cm,102.1,23.3,34.9,34.7,37.7,42.6,99.9,38.9,105.9,90.3,88.1,42.5,38.0,23.2,32.2,54.5,38.5,34.8,103.2,83.0,31.5,12.8,64.4,30.9,25.9,17.2,5.8,5.9,18.0,27.0,82.4,176.2,158.2,111.9,103.9,25.2,25.1,45.5,73.8,25.1,4.0,36.7,38.7,45.7,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0074.txt
cm,92.6,20.3,37.0,37.6,36.5,38.3,102.2,36.7,101.5,80.8,74.3,42.6,39.5,21.2,29.0,52.4,36.5,37.3,98.8,81.8,32.5,14.3,60.0,28.0,23.8,16.7,5.2,5.4,18.0,27.0,80.5,167.8,149.5,106.0,101.3,31.5,26.4,46.5,72.9,29.0,4.5,37.7,37.2,46.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0075.txt
cm,96.1,18.0,35.1,35.7,41.5,42.2,102.1,38.2,102.1,90.4,92.5,43.8,38.7,25.6,33.0,51.9,36.5,35.4,99.5,78.8,29.0,12.7,64.4,30.1,25.6,17.4,4.5,3.9,18.0,27.0,78.0,171.6,152.5,106.5,100.1,26.4,25.8,43.0,69.3,26.1,4.0,38.1,37.7,46.7,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0076.txt
cm,114.6,19.1,41.7,42.1,42.7,46.1,117.9,42.2,107.2,104.5,106.8,49.4,44.5,26.2,34.6,64.8,43.3,41.9,104.5,85.2,32.5,15.7,61.2,39.4,30.9,19.0,6.8,5.2,18.0,27.0,83.8,185.4,165.3,113.3,105.2,28.6,28.5,46.0,74.1,28.6,4.0,42.1,44.3,49.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0077.txt
cm,102.0,21.2,40.5,41.0,39.3,45.5,102.7,41.9,105.7,93.7,94.3,47.4,39.3,28.1,36.4,59.1,40.4,40.7,103.0,79.1,27.5,14.2,61.2,36.8,29.8,17.4,8.0,7.5,18.0,27.0,78.2,178.4,157.5,105.2,103.7,27.3,26.6,42.0,70.2,27.0,4.0,39.1,41.1,48.7,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0078.txt
cm,92.5,24.3,31.6,32.4,34.6,41.8,102.1,37.9,109.5,81.9,82.7,42.8,43.5,27.4,34.8,51.0,35.2,32.0,106.9,82.8,31.0,13.1,60.4,30.9,26.8,15.8,7.1,5.9,18.0,27.0,82.0,178.4,157.8,108.5,107.5,23.6,22.7,41.5,74.9,23.1,4.0,37.1,37.3,43.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0079.txt
cm,103.5,15.9,39.2,40.3,44.9,40.6,107.9,37.1,99.9,96.3,101.5,48.2,41.3,24.8,31.3,60.8,40.4,39.7,97.2,78.2,29.5,16.9,61.1,36.7,28.7,18.2,6.6,7.1,18.0,27.0,77.3,172.3,154.1,104.3,97.9,26.7,28.0,43.0,67.7,27.3,4.0,40.9,42.3,51.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0080.txt
cm,93.1,17.3,35.5,35.6,40.1,41.2,99.1,39.8,103.4,89.3,90.1,45.3,41.1,26.4,32.1,49.8,36.9,35.6,100.6,78.7,30.0,14.2,60.2,29.7,26.3,17.0,5.9,6.0,18.0,27.0,78.0,168.9,149.0,105.5,102.3,25.8,26.6,44.0,69.5,26.2,4.0,38.3,37.0,47.4,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0081.txt
cm,102.3,15.5,36.6,36.9,41.8,44.5,116.7,42.5,97.2,97.1,103.6,46.8,43.8,23.4,32.9,54.8,38.5,36.7,94.2,76.2,27.0,15.5,54.5,38.1,28.1,18.0,6.0,5.2,18.0,27.0,74.1,166.6,148.1,102.1,95.2,27.9,27.2,39.5,65.4,27.5,4.0,41.7,38.4,48.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0082.txt
cm,102.2,19.5,35.8,36.0,38.6,39.4,102.7,37.2,102.7,93.6,93.9,43.4,41.9,25.5,30.8,55.9,36.3,35.9,99.8,81.2,31.5,14.0,59.3,31.8,26.3,16.9,4.3,5.9,18.0,27.0,79.5,170.5,152.3,108.5,100.7,28.6,26.4,45.5,71.4,27.5,3.5,37.2,40.7,48.0,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0083.txt
cm,106.4,22.3,38.4,38.7,39.1,41.7,110.7,39.7,106.0,92.6,91.5,46.1,41.9,27.5,33.7,62.3,42.3,38.6,103.0,81.7,32.5,16.0,60.3,35.7,29.3,18.1,6.6,6.7,18.0,27.0,80.8,175.2,157.0,111.3,104.0,27.2,28.0,44.5,72.3,27.6,4.5,39.0,40.9,46.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0084.txt
cm,99.8,11.0,37.6,38.6,39.1,41.4,95.3,38.1,110.7,90.8,89.3,45.2,39.9,26.4,32.9,54.3,37.3,38.1,107.8,84.9,30.5,15.1,64.0,32.3,27.0,17.3,5.3,5.9,18.0,27.0,84.0,179.2,159.8,110.0,110.5,26.7,27.0,48.0,75.4,26.8,4.0,39.3,39.8,48.6,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0085.txt
cm,98.8,17.7,33.9,35.4,37.9,42.3,95.6,39.3,102.2,91.7,92.1,43.8,39.3,26.2,33.2,51.5,34.9,34.6,99.4,77.8,28.0,14.7,59.7,30.2,25.3,16.1,6.9,7.4,18.0,27.0,76.2,166.7,152.7,107.7,100.2,9.7,7.2,43.0,71.1,8.5,4.0,37.4,38.0,43.8,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0086.txt
cm,101.9,12.8,35.7,36.3,41.0,40.5,121.9,37.8,99.1,97.1,107.4,50.1,49.4,24.4,30.6,59.5,37.1,36.0,96.2,77.5,28.5,17.0,58.0,37.5,28.7,16.8,4.9,6.2,18.0,27.0,76.7,170.9,150.7,103.7,97.1,28.5,27.3,42.5,69.5,27.9,3.5,43.5,38.8,51.0,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0087.txt
cm,100.9,21.2,38.3,38.3,37.8,42.4,100.9,40.3,96.6,89.8,90.6,44.9,39.9,28.0,36.2,58.0,37.4,38.3,93.1,71.2,26.0,13.4,54.4,33.1,27.9,18.1,5.7,5.2,18.0,27.0,70.1,164.2,143.4,97.1,96.3,25.9,26.5,38.5,61.4,26.2,4.0,37.7,36.2,48.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0088.txt
cm,103.6,20.2,39.6,39.7,34.9,38.3,105.9,36.0,100.5,86.9,81.7,44.0,44.4,24.0,30.6,62.7,38.9,39.6,97.9,79.8,29.5,15.7,59.6,37.4,28.1,16.1,8.0,7.3,18.0,27.0,78.5,170.8,150.0,103.0,100.3,27.3,26.6,45.5,70.6,27.0,4.0,38.1,39.5,46.0,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0089.txt
cm,99.0,15.4,35.6,35.6,39.8,38.3,109.8,35.6,107.5,95.4,96.6,43.8,44.5,27.2,33.5,55.0,39.3,35.6,104.9,83.4,31.5,15.0,57.9,31.6,26.5,16.4,5.9,5.7,18.0,27.0,82.2,173.1,155.2,112.7,105.5,27.6,27.1,46.5,74.3,27.3,4.0,37.6,36.8,46.7,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0090.txt
cm,97.3,18.7,38.4,38.4,40.4,38.5,107.8,35.9,98.7,85.8,87.0,43.3,42.5,24.7,32.1,57.0,37.0,38.4,96.0,75.6,28.5,13.8,59.2,32.4,25.4,14.6,3.9,4.6,18.0,27.0,74.7,163.7,145.0,101.2,96.7,24.7,25.4,41.5,66.4,25.1,3.5,38.0,38.7,45.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0091.txt
cm,108.7,23.3,40.2,40.9,42.2,45.2,116.4,42.5,110.1,100.4,108.4,49.2,43.9,27.5,36.3,61.5,41.5,40.6,106.1,84.5,31.0,16.1,61.0,37.9,30.0,19.0,6.3,5.4,18.0,27.0,83.6,184.0,165.6,116.1,108.1,27.2,28.3,46.5,74.1,27.8,4.0,42.1,38.7,50.6,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0092.txt
cm,99.2,25.4,37.5,38.0,38.5,40.3,96.0,36.4,102.0,90.7,91.4,41.9,38.8,25.0,34.7,57.2,37.6,37.8,99.1,79.7,30.0,13.8,62.7,31.2,26.4,17.2,4.6,4.9,18.0,27.0,78.4,166.3,149.7,101.9,100.0,26.0,26.8,42.0,70.1,26.4,4.0,37.5,36.9,46.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0093.txt
cm,110.8,11.1,38.6,39.0,45.2,48.9,127.3,46.3,104.1,108.8,119.4,50.5,49.3,24.9,33.7,57.0,41.0,38.8,99.7,80.4,29.0,15.2,59.3,36.5,31.6,20.0,6.3,6.4,18.0,27.0,79.1,171.7,153.3,108.1,102.1,27.5,27.5,41.5,70.1,27.5,4.0,42.3,40.7,52.4,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0094.txt
cm,106.3,16.2,38.0,38.8,41.3,45.2,108.5,41.6,103.6,101.8,104.8,47.0,40.7,26.8,35.7,57.1,39.8,38.4,100.0,78.8,27.5,15.1,62.1,33.8,27.4,17.3,6.0,5.3,18.0,27.0,78.0,174.3,159.3,109.0,101.6,27.1,27.7,43.0,69.4,27.4,4.0,40.3,40.0,49.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0095.txt
cm,104.3,14.8,38.8,39.6,40.4,40.9,109.5,38.1,103.7,102.1,102.6,45.0,41.6,22.1,34.6,60.9,38.9,39.2,99.1,80.8,29.5,13.1,58.5,34.3,27.9,17.4,5.4,5.6,18.0,27.0,79.3,170.9,153.1,105.3,102.9,27.1,26.3,45.5,70.6,26.7,3.5,37.9,40.0,48.4,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0096.txt
cm,108.3,16.7,40.3,39.0,43.2,43.9,108.2,40.6,110.1,95.2,95.2,47.2,43.4,27.5,36.0,60.9,39.0,39.6,107.0,84.8,31.0,14.7,61.5,35.2,26.7,17.4,5.2,5.6,18.0,27.0,83.6,180.7,161.9,112.6,108.1,28.0,26.5,46.5,74.5,27.3,4.0,40.6,41.8,49.3,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0097.txt
cm,98.8,20.7,36.4,36.7,39.1,41.0,104.7,38.1,106.7,90.1,91.5,45.1,43.3,26.0,32.6,56.4,36.2,36.6,104.1,85.1,31.5,14.9,61.4,32.6,27.2,17.0,6.3,6.0,18.0,27.0,82.8,173.8,156.3,109.3,104.7,25.7,26.3,47.5,73.8,26.0,4.0,39.2,40.5,47.8,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0098.txt
cm,108.1,18.8,40.2,40.3,39.7,43.9,112.1,39.8,111.6,97.4,98.1,48.3,46.4,28.0,36.1,61.7,41.0,40.3,108.0,84.4,31.0,14.7,62.6,35.6,29.4,17.8,5.5,5.6,18.0,27.0,83.1,182.1,162.1,115.1,109.6,29.2,27.4,46.0,74.0,28.3,4.0,40.9,45.0,48.8,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0099.txt
cm,92.9,18.7,36.5,36.5,36.8,41.1,100.7,38.4,108.3,87.8,90.0,42.4,39.7,23.0,32.3,53.3,38.4,36.5,105.1,84.8,31.5,12.7,61.2,32.1,26.7,16.1,3.4,3.8,18.0,27.0,84.0,178.0,157.5,108.0,106.3,27.6,27.9,47.5,75.1,27.7,4.0,37.3,38.9,46.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0100.txt
cm,100.5,17.4,38.7,39.7,36.8,39.5,100.5,36.5,101.7,87.9,86.7,43.4,40.9,23.1,31.3,59.2,38.0,39.2,98.9,80.5,29.5,14.2,60.6,32.3,27.1,17.9,5.6,5.9,18.0,27.0,79.4,169.4,150.2,103.4,99.7,27.6,27.9,45.0,71.2,27.7,3.5,37.1,40.1,45.3,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0101.txt
cm,95.2,22.1,36.2,37.0,39.0,42.7,101.6,39.2,106.8,83.9,83.9,42.3,39.0,25.7,31.9,54.8,36.8,36.6,104.5,83.0,31.0,12.3,61.4,31.1,26.1,16.3,5.9,3.9,18.0,27.0,82.0,171.5,152.8,112.0,104.8,26.5,27.2,46.0,73.0,26.8,4.0,37.0,37.6,46.0,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0102.txt
cm,104.1,27.0,37.8,37.4,40.5,42.6,113.8,49.8,95.5,99.3,105.4,46.9,42.9,25.0,36.4,58.6,38.0,37.6,90.9,70.3,25.0,13.5,52.4,37.0,28.9,17.3,6.1,7.6,18.0,27.0,69.0,156.7,136.7,99.0,93.5,24.2,25.2,36.0,60.9,24.7,3.0,39.2,39.4,48.0,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0103.txt
cm,96.2,19.6,36.4,35.8,37.1,40.6,101.9,38.9,98.9,87.9,90.6,42.2,40.3,24.7,31.9,54.4,35.6,36.1,96.0,76.7,28.5,13.8,55.5,30.3,24.2,15.9,5.8,4.8,18.0,27.0,75.5,163.6,145.0,101.5,96.9,24.2,24.8,41.5,67.0,24.5,4.0,37.6,36.3,43.8,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0104.txt
cm,108.0,18.4,39.8,38.9,46.2,42.0,117.8,39.9,98.0,97.1,100.1,49.5,43.1,25.6,35.2,60.2,40.5,39.3,94.1,74.6,26.5,16.2,57.0,39.3,29.4,18.4,5.8,5.8,18.0,27.0,72.0,164.9,145.0,102.5,96.0,27.5,27.2,38.0,63.9,27.4,4.0,41.9,42.8,51.7,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0105.txt
cm,90.6,18.0,35.1,34.4,38.8,38.3,98.5,35.2,96.7,81.0,82.1,40.9,37.5,24.4,32.8,46.8,33.9,34.7,93.9,73.2,25.0,12.8,55.0,29.7,23.5,16.4,5.7,5.3,18.0,27.0,72.1,159.7,141.8,101.6,94.7,24.8,26.2,40.0,63.5,25.5,4.0,35.5,34.5,43.0,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0106.txt
cm,86.6,18.2,32.8,32.3,35.6,39.5,94.3,36.2,114.9,77.7,70.6,38.7,37.5,24.2,29.3,48.2,35.6,32.5,111.8,91.5,35.5,12.1,65.0,28.9,23.6,15.3,3.3,4.0,18.0,27.0,90.6,183.0,161.6,126.1,114.7,26.4,26.3,50.5,81.6,26.4,4.5,35.3,35.5,42.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0107.txt
