OPTION UNITS,MEASURE HIP_Circ,MEASURE Seat_Back_Angle,MEASURE Calf_Left,MEASURE Calf_Right,MEASURE Across_Back,MEASURE NeckBase_Circ,MEASURE CHEST_Circ,MEASURE Neck_Circ,MEASURE TrouserWaist_Height_Back,MEASURE TrouserWAIST_Circ,MEASURE MaxWAIST_Circ,MEASURE Shoulder_to_Shoulder,MEASURE Across_Front,MEASURE CrotchLength_Front,MEASURE CrotchLength_Back,MEASURE Thigh_Circ,MEASURE Knee_Circ,MEASURE Calf_Circ,MEASURE Outseam,MEASURE Inseam,MEASURE Knee_Height,MEASURE Shoulder_Length,MEASURE Shoulder_to_Wrist,MEASURE Bicep_Circ,MEASURE Elbow_Circ,MEASURE Wrist_Circ,MEASURE Shoulder_Slope_Left,MEASURE Shoulder_Slope_Right,MEASURE Joints,MEASURE Landmarks,MEASURE CROTCH_Height,MEASURE Head_Top_Height,MEASURE NECK_Height,MEASURE MaxWaist_Height,MEASURE TrouserWaist_Height_Front,MEASURE Ankle_Girth_Left,MEASURE Ankle_Girth_Right,MEASURE Calf_Height,MEASURE Ankle_Height,MEASURE Ankle_Circ,MEASURE Thigh_Height,MEASURE Shoulder_Width_thruTheBody,MEASURE Hip_Width_ThruTheBody,MEASURE Overarm_Width_ThruTheBody,filename
cm,103.6,24.5,36.2,36.2,38.4,42.7,101.9,38.4,108.4,87.8,80.1,45.3,41.0,26.0,35.4,59.4,38.9,36.2,105.4,84.5,33.5,14.2,61.7,34.6,27.5,16.6,5.0,4.1,18.0,27.0,83.5,174.9,157.8,115.0,108.2,28.2,26.8,46.5,74.6,27.5,4.5,39.5,40.8,46.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0011.txt
cm,101.8,12.1,37.5,37.9,42.7,44.3,115.5,42.9,96.4,95.1,105.2,49.3,44.5,25.7,31.2,56.9,37.8,37.7,93.7,75.2,26.0,15.2,55.8,34.2,28.4,17.9,6.6,5.2,18.0,27.0,73.7,167.4,148.4,101.7,94.4,24.8,25.0,40.0,64.6,24.9,3.5,40.7,36.0,48.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0012.txt
cm,98.5,15.1,35.2,35.9,39.0,43.0,106.1,39.2,110.6,88.6,84.0,45.1,42.7,27.0,33.2,55.4,35.7,35.5,107.8,87.2,32.5,14.0,62.1,34.7,27.3,17.1, *** Error ***,6.2,18.0,27.0,86.1,181.9,160.3,119.1,110.2,25.3,27.7,49.5,78.0,26.5,4.0,39.5,38.2,47.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0013.txt
cm,105.8,18.4,41.1,41.1,37.5,44.0,106.6,38.7,116.0,96.0,92.1,45.4,45.1,29.3,35.4,61.0,38.8,41.1,113.0,90.4,35.0,13.2,65.6,33.1,28.7,18.1,4.4,4.2,18.0,27.0,89.4,188.3,168.4,121.9,114.0,29.4,28.6,52.5,79.9,29.0,4.0,40.3,40.2,47.6,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0014.txt
cm,95.0,19.7,37.1,37.7,40.3,41.2,96.8,37.4,110.5,83.6,77.0,44.8,38.8,26.4,32.4,53.7,38.1,37.4,107.8,87.2,33.0,14.0,61.0,30.2,26.2,15.7,4.4,5.3,18.0,27.0,86.5,172.3,159.5,116.0,110.3,27.1,27.9,47.0,77.8,27.5,4.5,39.1,36.7,44.6,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0015.txt
cm,99.1,14.4,37.3,37.7,40.5,42.3,100.7,39.4,98.1,90.7,93.1,45.8,38.5,25.1,32.3,53.1,37.6,37.5,95.6,74.7,27.5,13.9,58.3,33.4,27.3,17.5,6.2,6.5,18.0,27.0,73.8,168.3,148.8,101.8,96.1,25.7,25.9,40.0,65.1,25.8,3.5,37.6,38.3,47.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0016.txt
cm,97.9,19.5,37.2,37.1,37.6,38.1,103.8,36.0,105.2,88.7,81.7,41.9,39.9,27.4,36.3,56.8,37.9,37.2,102.2,80.8,30.5,13.5,64.1,32.4,25.9,17.3,4.1,5.1,18.0,27.0,79.6,171.8,154.9,117.6,105.0,28.2,27.8,43.5,71.5,28.0,3.5,36.9,38.5,45.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0017.txt
cm,102.2,21.1,41.3,40.8,41.1,40.3,100.2,37.9,110.0,91.6,83.6,45.7,42.2,27.6,33.4,58.7,40.4,41.0,106.6,85.4,32.0,14.6,62.4,31.6,27.4,17.3,2.6,4.4,18.0,27.0,84.5,184.9,163.0,115.0,109.8,29.7,29.9,48.5,74.3,29.8,4.0,40.0,39.2,49.7,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0018.txt
cm,94.2,17.2,36.9,36.6,38.3,44.2,105.9,40.3,104.3,86.7,83.7,45.8,43.2,26.4,33.3,52.4,36.9,36.7,101.2,81.1,30.5,14.0,60.0,32.0,28.0,17.7,4.1,4.2,18.0,27.0,80.0,171.1,152.5,113.5,104.1,26.5,26.8,46.0,71.0,26.7,4.0,40.6,36.6,48.7,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0019.txt
cm,102.5,27.1,36.6,36.5,38.7,42.7,107.8,37.2,111.9,89.2,82.7,44.4,44.9,27.5,35.1,57.4,38.6,36.5,108.7,86.9,34.0,12.8,63.0,32.1,26.3,16.3,6.2,6.6,18.0,27.0,86.1,177.7,162.9,120.1,109.9,25.8,26.2,49.5,77.5,26.0,4.0,39.3,38.0,47.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0020.txt
cm,110.7,20.9,41.2,41.0,41.3,42.5,112.5,40.0,96.2,100.8,104.9,45.4,41.9,25.1,33.5,63.0,38.5,41.1,92.5,73.8,28.0,13.9,56.6,37.8,28.1,17.8,5.2,5.0,18.0,27.0,72.7,161.2,143.2,102.2,94.2,26.4,27.3,39.5,64.3,26.9,4.0,38.6,41.6,48.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0021.txt
cm,104.6,24.2,40.4,41.0,42.8,42.6,114.3,40.5,97.0,98.9,104.8,42.2,35.2,25.5,35.9,64.3,39.4,40.7,92.8,72.8,27.0,11.6,56.7,40.6,29.8,17.4,7.0,7.2,18.0,27.0,71.6,162.7,142.6,97.6,95.0,26.4,27.5,37.5,63.5,26.9,4.0,34.2,40.8,46.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0022.txt
cm,99.0,20.0,37.7,38.3,39.9,41.4,102.8,38.2,114.8,87.4,82.3,45.3,40.7,27.6,34.4,58.3,39.8,38.0,111.9,89.7,35.5,14.1,66.0,32.6,28.7,17.9,6.9,5.0,18.0,27.0,88.7,178.6,162.5,121.7,114.6,32.1,28.2,46.5,80.6,30.1,4.5,38.6,39.1,48.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0023.txt
cm,106.6,21.8,37.0,36.0,41.2,40.0,106.7,37.2,110.2,95.4,87.4,43.7,39.4,31.1,37.5,60.9,39.2,36.5,107.4,83.1,33.0,13.7,60.5,35.6,27.6,16.7,3.8,5.1,18.0,27.0,82.2,172.8,153.9,114.7,110.0,26.3,26.0,45.0,73.5,26.1,4.0,38.7,41.6,47.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0024.txt
cm,112.2,12.6,38.8,40.7,43.5,43.6,124.9,42.9,111.0,106.0,110.9,53.9,49.0,28.2,36.4,57.3,42.3,39.7,106.5,84.3,30.0,18.0,64.2,37.2,29.9,19.3,5.4,6.4,18.0,27.0,83.0,178.7,159.2,114.5,109.0,31.1,30.9,45.5,74.0,31.0,4.5,43.9,41.7,50.9,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0025.txt
cm,104.3,22.5,36.9,36.5,39.0,41.7,108.4,39.8,103.4,94.6,93.2,46.6,42.2,26.6,33.8,60.1,37.6,36.7,100.3,79.6,28.5,13.6,58.1,33.8,26.4,15.6,5.9,5.6,18.0,27.0,78.6,174.0,152.4,107.6,101.6,26.1,26.7,42.0,70.3,26.4,3.5,38.6,41.0,44.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0026.txt
